dataset,pred_len,features,activation,activation_family,amplitude,frequency,phase,lee_type,baseline_activation,mse_mean,mse_std,mae_mean,mae_std,seed_count,server_count,relative_mse_change_mean,win_rate,effect_label,rel_pct
ETTh1,24,M,lee,lee_oc,0.0,1.0,0.0,1,tanh,0.683186948,0.0439260627440094,0.604564831,0.0220969861920225,3,1,0.0065042124333394,0.4,ineffective,0.6504212433339399
ETTh1,24,M,lee,lee_oc,0.0,1.0,0.0,3,tanh,0.7648342333333332,0.0482769005138413,0.6254052666666666,0.0272555267662052,3,1,-0.1395488810614445,0.0,negative,-13.95488810614445
ETTh1,24,M,scaled_tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.7359136233333333,0.0446136745396569,0.6419434333333334,0.0142512977990404,3,1,0.0181065514850597,0.6666666666666666,mixed,1.8106551485059699
ETTh1,24,M,softsign,bounded_sign,0.0,1.0,0.0,1,gelu,0.7122067166666667,0.0412086212949527,0.62320732,0.0216956547050601,3,1,0.0460677329643115,0.6666666666666666,effective,4.60677329643115
ETTh1,24,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.6869114344444445,0.0434347973142364,0.6085168822222222,0.0206166186711162,3,1,0.0625615287869343,0.7777777777777778,effective,6.25615287869343
ETTh1,24,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,0.6864824383333333,0.0408002851544566,0.6074245,0.0181111717374365,3,1,-0.0166469356698955,0.1666666666666666,ineffective,-1.6646935669895497
ETTh1,24,M,tanh_sin,sin_perturb,0.05,1.0,0.0,1,tanh,0.6853777933333333,0.0547776698498381,0.6080716383333333,0.0257658019902664,3,1,-0.0129511277438784,0.3333333333333333,ineffective,-1.29511277438784
ETTh1,24,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,0.6910935483333334,0.0410405885284314,0.6098391083333333,0.0180513590784299,3,1,-0.0229210278430751,0.3333333333333333,negative,-2.29210278430751
ETTh1,168,M,lee,lee_oc,0.0,1.0,0.0,1,tanh,1.0608282,0.061035914699593,0.8248468999999999,0.0284217666900402,6,2,0.00783444749578,0.8333333333333334,ineffective,0.783444749578
ETTh1,168,M,lee,lee_oc,0.0,1.0,0.0,3,tanh,1.1257603166666668,0.0590403015069,0.8394035666666667,0.0244402681108138,6,2,-0.0540844467955209,0.3333333333333333,negative,-5.40844467955209
ETTh1,168,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,1.1399784666666666,0.0787770611562207,0.858637826,0.033438042241528,6,4,,,mixed,
ETTh1,168,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,1.1794004666666666,0.0479822374524503,0.8737608133333333,0.0146107044633218,3,1,-0.0052441836261331,0.3333333333333333,ineffective,-0.52441836261331
ETTh1,168,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,1.1731152333333332,0.0590607011348775,0.8693217333333333,0.024864915885909,3,1,0.0003817574788467,0.3333333333333333,ineffective,0.03817574788467
ETTh1,168,M,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,tanh,1.1830498,0.0561591988878046,0.8758701533333334,0.0202614622850507,3,1,-0.0081237841138503,0.0,ineffective,-0.8123784113850299
ETTh1,168,M,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,tanh,1.1814970666666669,0.0460762421976155,0.8746960566666666,0.0203970357166975,3,1,-0.0071274400883134,0.6666666666666666,ineffective,-0.7127440088313399
ETTh1,168,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,1.1337326933333334,0.0905260239593112,0.8546464146666667,0.0384773269593768,6,4,0.0060262295121309,0.5333333333333333,ineffective,0.6026229512130901
ETTh1,168,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,1.1301632888888888,0.0831335073113188,0.8535014933333334,0.0347445481849066,4,3,5.46062650939031e-05,0.3333333333333333,ineffective,0.00546062650939031
ETTh2,168,M,lee,lee_oc,0.0,1.0,0.0,1,tanh,3.466888583333333,0.5016067626395458,1.57636545,0.138166168734155,6,2,0.0497370189662494,0.8333333333333334,effective,4.97370189662494
ETTh2,168,M,lee,lee_oc,0.0,1.0,0.0,3,tanh,2.7307934333333335,0.5517795317762799,1.3801577166666668,0.1605360062663877,6,2,0.2207374071015972,0.8333333333333334,strong_effective,22.07374071015972
ETTh2,168,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,4.012637691666667,0.7079995760178487,1.7203476249999998,0.1818723973313313,6,3,,,mixed,
ETTh2,168,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,5.116498666666667,0.5316269688487628,1.9933934666666664,0.1283337474488036,3,1,-0.051628706432837,0.3333333333333333,negative,-5.1628706432837
ETTh2,168,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,5.1596003999999995,0.5830988688503091,1.9993421333333337,0.134077332729188,3,1,-0.0581201997659986,0.0,negative,-5.81201997659986
ETTh2,168,M,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,tanh,4.956275833333334,0.6012498424774212,1.9618962,0.136644878613397,3,1,-0.0158777898143715,0.0,ineffective,-1.5877789814371501
ETTh2,168,M,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,tanh,5.6574025,0.4547795095749697,2.1003411,0.1134444836443357,3,1,-0.1650579573015652,0.0,negative,-16.50579573015652
ETTh2,168,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,4.080989175,0.6653595428025595,1.7375107916666668,0.1740551439991854,6,3,-0.0200066484824921,0.4166666666666667,negative,-2.00066484824921
ETTh2,168,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,4.650137099999999,0.7737172440874869,1.8784117,0.1804035553311186,3,2,-0.0622575248257864,0.1666666666666666,negative,-6.22575248257864
Solar1,24,M,lee,lee_oc,0.0,1.0,0.0,1,tanh,0.1624570333333333,0.0018626593639829,0.17965636,0.0020399570373662,3,1,0.0057669769966965,0.6666666666666666,ineffective,0.57669769966965
Solar1,24,M,lee,lee_oc,0.0,1.0,0.0,3,tanh,0.19180811,0.0130723897785867,0.2420837133333333,0.0078858029255639,3,1,-0.17196143197502,0.0,negative,-17.196143197502
Solar1,24,M,softsign,bounded_sign,0.0,1.0,0.0,1,gelu,0.1657587066666666,0.0047279703832652,0.1843263433333333,0.0021947575486675,3,1,0.0402945037282308,1.0,effective,4.02945037282308
Solar1,24,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.1647870822222222,0.0046983375686054,0.1837790477777777,0.0041259683178278,6,2,0.0513631306137093,1.0,strong_effective,5.13631306137093
Solar1,24,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,0.1652218333333333,0.0019011086181839,0.1818871133333333,0.0017101861575376,3,1,0.008466599366928,0.6666666666666666,ineffective,0.8466599366928
Solar1,24,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,0.1647580766666666,0.0057733853880053,0.1801499266666666,0.0027822680804037,3,1,0.0113421497509224,0.6666666666666666,mixed,1.13421497509224
Solar1,24,M,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,tanh,0.1670024033333333,0.0045657481575567,0.18109023,0.0019089035814047,3,1,-0.0022216441580965,0.6666666666666666,ineffective,-0.22216441580965
Solar1,24,M,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,tanh,0.16544259,0.0018799144762727,0.1808772,0.0013937167570206,3,1,0.0072031778477036,1.0,ineffective,0.72031778477036
Solar1,24,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,0.1642359283333333,0.0029274966696849,0.1819050716666666,0.0043970211962164,6,2,0.004795437538985,0.6666666666666666,ineffective,0.4795437538985
Solar1,24,M,tanh_sin,sin_perturb,0.05,1.0,0.0,1,tanh,0.16409792,0.0045950478215465,0.1833003033333333,0.0046251068673527,3,1,-0.0038210212985471,0.6666666666666666,ineffective,-0.38210212985471004
Solar1,24,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,0.1654390833333333,0.0039132578610394,0.1824664933333333,0.0042611900675406,6,2,-0.0025400350396222,0.6666666666666666,ineffective,-0.25400350396222
Solar1,96,M,lee,lee_oc,0.0,1.0,0.0,1,tanh,0.2537934633333333,0.0071312632903948,0.2478806,0.0028555196390324,3,1,-0.0131842296860843,0.0,ineffective,-1.31842296860843
Solar1,96,M,softsign,bounded_sign,0.0,1.0,0.0,1,gelu,0.2428794666666666,0.0021438226881515,0.24264038,0.002910565106487,3,1,0.1571179266422809,1.0,strong_effective,15.711792664228089
Solar1,96,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.2508926775,0.0083388138411942,0.2453878883333333,0.0018468347166083,6,2,0.1283824730092121,1.0,strong_effective,12.83824730092121
Solar1,96,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,0.2514362933333333,0.0059719272470227,0.2458455733333333,0.0029655812182662,3,1,-0.0059070736992962,0.6666666666666666,ineffective,-0.5907073699296199
Solar1,96,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,0.2519915433333333,0.0075025068554739,0.24494907,0.0022546419468953,3,1,-0.0077483032485373,0.6666666666666666,ineffective,-0.77483032485373
Solar1,96,M,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,tanh,0.2507145666666666,0.0077944980807768,0.2446545033333333,0.0018462008052845,3,1,-0.0028027022211936,0.3333333333333333,ineffective,-0.28027022211936004
Solar1,96,M,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,tanh,0.2528756266666667,0.0060570008173792,0.2481691966666666,0.0048531260817367,3,1,-0.0116728737660269,0.3333333333333333,ineffective,-1.16728737660269
Solar1,96,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,0.25139452,0.0087658197620102,0.2457294688888888,0.0032746295825613,6,2,-0.0041799245754827,0.3333333333333333,ineffective,-0.41799245754827
Solar1,96,M,tanh_sin,sin_perturb,0.05,1.0,0.0,1,tanh,0.2552753566666667,0.0058527840370978,0.2460497499999999,0.0019585169884277,3,1,-0.0198816018041287,0.3333333333333333,ineffective,-1.98816018041287
Solar1,96,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,0.2522725755555555,0.0061488916333049,0.2457246933333333,0.0041047147428384,6,2,-0.0082618096090872,0.3333333333333333,ineffective,-0.82618096090872
Solar5,24,M,softsign,bounded_sign,0.0,1.0,0.0,1,gelu,0.1170652146666666,0.0049597434318647,0.1760776466666666,0.0068318245440755,3,1,0.0810127527620346,1.0,strong_effective,8.10127527620346
Solar5,24,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.1156258206666666,0.0044396979600457,0.173165645,0.004606966936646,6,2,0.1047520679978429,1.0,strong_effective,10.47520679978429
Solar5,24,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,0.1147303753333333,0.0018562732172461,0.1720371133333333,0.0027683871813446,3,1,0.0200902945441299,0.6666666666666666,effective,2.00902945441299
Solar5,24,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,0.11943622,0.0032889492337979,0.1749954766666666,0.0031221172482841,3,1,-0.0197929302242178,0.3333333333333333,ineffective,-1.9792930224217802
Solar5,24,M,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,tanh,0.1171240066666666,0.0028509704434864,0.1740254233333333,0.0026264241421433,3,1,-8.051552536852448e-06,0.3333333333333333,ineffective,-0.0008051552536852448
Solar5,24,M,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,tanh,0.11894209,0.0037582211710861,0.1731417233333333,0.0044587478940766,3,1,-0.0159316009474209,0.3333333333333333,ineffective,-1.5931600947420899
Solar5,24,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,0.1179692233333333,0.0028437108835873,0.1739332433333333,0.002474548838765,3,1,-0.0071941421796669,0.3333333333333333,ineffective,-0.71941421796669
Solar5,24,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,0.1133699933333333,0.0032448802421367,0.1701108733333333,0.0023056910370935,3,1,0.0321152400443916,1.0,effective,3.21152400443916
Solar5,96,M,softsign,bounded_sign,0.0,1.0,0.0,1,gelu,0.2046223566666666,0.0072235709088534,0.24299643,0.0007586822384239,3,1,0.133367799515734,1.0,strong_effective,13.3367799515734
Solar5,96,M,tanh,bounded_sign,0.0,1.0,0.0,1,gelu,0.2037766822222222,0.0063863753496403,0.2436711155555555,0.0045606299522629,6,2,0.1439441852970391,1.0,strong_effective,14.39441852970391
Solar5,96,M,tanh_cos,cos_perturb,0.01,1.0,0.0,1,tanh,0.2048148733333333,0.0038124518068079,0.2452742,0.0030462448955394,3,1,0.011526673797251,0.3333333333333333,ineffective,1.1526673797251001
Solar5,96,M,tanh_cos,cos_perturb,0.1,1.0,0.0,1,tanh,0.2027260433333333,0.0033363116632642,0.2460195733333333,0.0032625328461386,3,1,0.0217108797855783,1.0,effective,2.17108797855783
Solar5,96,M,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,tanh,0.2008170666666666,0.0076106647894276,0.2432162866666666,0.0030492981103908,3,1,0.0308924175789399,0.6666666666666666,effective,3.08924175789399
Solar5,96,M,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,tanh,0.21162904,0.0072638007946873,0.2494274466666667,0.0014194146151259,3,1,-0.0213104340910407,0.3333333333333333,negative,-2.1310434091040698
Solar5,96,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,0.2044771166666666,0.0013329596071549,0.2451373583333333,0.0031464933681888,6,2,-0.0094037333066945,0.6666666666666666,ineffective,-0.9403733306694501
Solar5,96,M,tanh_sin,sin_perturb,0.05,1.0,0.0,1,tanh,0.20307419,0.0060076528017271,0.2444030733333333,0.0048069792083733,3,1,-0.0241973398679465,0.0,negative,-2.41973398679465
Solar5,96,M,tanh_sin,sin_perturb,0.1,1.0,0.0,1,tanh,0.2080618616666666,0.007351183407407,0.2485003733333333,0.0038367204933727,6,2,-0.0268298977145742,0.1666666666666666,negative,-2.6829897714574202
