stage,dataset,pred_len,config_name,activation,output_activation,activation_signature,placement,seed,batch_size,train_epochs,seq_len,label_len,e_layers,d_layers,d_model,n_heads,d_ff,factor,dropout,learning_rate,features,model,embed,class_strategy,data,root_path,data_path,target,freq,mse,mae,summary_path,setting,config_path,pred_path,true_path,run_id,server_id,server_ip
placement_probe,ETTh2,96,gelu_ffn_linear,gelu,linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h,0.3015976250171661,0.3514589667320251,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.82/results/summary.csv,ETTh2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_gelu_ffn_linear_s2024_projection_0,./results/ETTh2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_gelu_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_gelu_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_gelu_ffn_linear_s2024_projection_0/true.npy,itransformer_smoke_20260521_actfix2,4090-82,10.21.53.82
placement_probe,ETTh2,96,softsign_ffn_linear,softsign,linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h,0.3027016818523407,0.3505314588546753,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.82/results/summary.csv,ETTh2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0,./results/ETTh2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/true.npy,itransformer_stage1_20260521_actfix3,4090-82,10.21.53.82
placement_probe,ETTh2,96,tanh_ffn_linear,tanh,linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h,0.302766889333725,0.3503179550170898,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.113/results/summary.csv,ETTh2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_tanh_ffn_linear_s2024_projection_0,./results/ETTh2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_tanh_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_tanh_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_smoke_20260521_actfix2_tanh_ffn_linear_s2024_projection_0/true.npy,itransformer_smoke_20260521_actfix2,4090-113,10.21.53.113
placement_probe,ETTh2,96,tanh_sin001_ffn_linear,tanh_sin001,linear,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTh2,../lee_ocil/ETT-small/,ETTh2.csv,OT,h,0.3027727901935577,0.3503126800060272,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.113/results/summary.csv,ETTh2_pl96_tanh_sin001_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0,./results/ETTh2_pl96_tanh_sin001_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/config.json,./results/ETTh2_pl96_tanh_sin001_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/pred.npy,./results/ETTh2_pl96_tanh_sin001_ffn_linear_s2024_iTransformer_ETTh2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/true.npy,itransformer_stage1_20260521_actfix3,4090-113,10.21.53.113
placement_probe,ETTm2,96,gelu_ffn_linear,gelu,linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTm2,../lee_ocil/ETT-small/,ETTm2.csv,OT,t,0.1842259466648101,0.2691440284252167,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.142/results/summary.csv,ETTm2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0,./results/ETTm2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0/config.json,./results/ETTm2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0/pred.npy,./results/ETTm2_pl96_gelu_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0/true.npy,itransformer_stage1_20260521_actfix3,4090-142,10.21.53.142
placement_probe,ETTm2,96,softsign_ffn_linear,softsign,linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTm2,../lee_ocil/ETT-small/,ETTm2.csv,OT,t,0.1842130720615387,0.2685910761356354,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.162/results/summary.csv,ETTm2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0,./results/ETTm2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/config.json,./results/ETTm2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/pred.npy,./results/ETTm2_pl96_softsign_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/true.npy,itransformer_stage1_20260521_actfix3,4090-162,10.21.53.162
placement_probe,ETTm2,96,tanh_ffn_linear,tanh,linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTm2,../lee_ocil/ETT-small/,ETTm2.csv,OT,t,0.1838776022195816,0.2682396471500397,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.82/results/summary.csv,ETTm2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_ffn_linear_s2024_projection_0,./results/ETTm2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_ffn_linear_s2024_projection_0/config.json,./results/ETTm2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_ffn_linear_s2024_projection_0/pred.npy,./results/ETTm2_pl96_tanh_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_ffn_linear_s2024_projection_0/true.npy,itransformer_stage1_20260521_actfix3,4090-82,10.21.53.82
placement_probe,ETTm2,96,tanh_sin001_ffn_linear,tanh_sin001,linear,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTm2,../lee_ocil/ETT-small/,ETTm2.csv,OT,t,0.1838691085577011,0.2682293057441711,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.113/results/summary.csv,ETTm2_pl96_tanh_sin001_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0,./results/ETTm2_pl96_tanh_sin001_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/config.json,./results/ETTm2_pl96_tanh_sin001_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/pred.npy,./results/ETTm2_pl96_tanh_sin001_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll96_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/true.npy,itransformer_stage1_20260521_actfix3,4090-113,10.21.53.113
placement_probe,ETTm2,720,gelu_ffn_linear,gelu,linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTm2,../lee_ocil/ETT-small/,ETTm2.csv,OT,t,0.414091557264328,0.4065375030040741,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.142/results/summary.csv,ETTm2_pl720_gelu_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0,./results/ETTm2_pl720_gelu_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0/config.json,./results/ETTm2_pl720_gelu_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0/pred.npy,./results/ETTm2_pl720_gelu_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_gelu_ffn_linear_s2024_projection_0/true.npy,itransformer_stage1_20260521_actfix3,4090-142,10.21.53.142
placement_probe,ETTm2,720,softsign_ffn_linear,softsign,linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTm2,../lee_ocil/ETT-small/,ETTm2.csv,OT,t,0.4154503345489502,0.4068096280097961,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.162/results/summary.csv,ETTm2_pl720_softsign_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0,./results/ETTm2_pl720_softsign_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/config.json,./results/ETTm2_pl720_softsign_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/pred.npy,./results/ETTm2_pl720_softsign_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_softsign_ffn_linear_s2024_projection_0/true.npy,itransformer_stage1_20260521_actfix3,4090-162,10.21.53.162
placement_probe,ETTm2,720,tanh_ffn_linear,tanh,linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTm2,../lee_ocil/ETT-small/,ETTm2.csv,OT,t,0.4144836366176605,0.4059429168701172,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.82/results/summary.csv,ETTm2_pl720_tanh_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_ffn_linear_s2024_projection_0,./results/ETTm2_pl720_tanh_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_ffn_linear_s2024_projection_0/config.json,./results/ETTm2_pl720_tanh_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_ffn_linear_s2024_projection_0/pred.npy,./results/ETTm2_pl720_tanh_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_ffn_linear_s2024_projection_0/true.npy,itransformer_stage1_20260521_actfix3,4090-82,10.21.53.82
placement_probe,ETTm2,720,tanh_sin001_ffn_linear,tanh_sin001,linear,act=tanh_sin001|ffn=tanh_sin001|out=linear|a=0.01,ffn_linear,2024,32,10,96,48,2,1,128,8,128,1,0.1,0.0001,M,iTransformer,timeF,projection,ETTm2,../lee_ocil/ETT-small/,ETTm2.csv,OT,t,0.4144042432308197,0.4058984220027923,itransformer_remote_results/stage1_actfix3_20260521/10.21.53.113/results/summary.csv,ETTm2_pl720_tanh_sin001_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0,./results/ETTm2_pl720_tanh_sin001_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/config.json,./results/ETTm2_pl720_tanh_sin001_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/pred.npy,./results/ETTm2_pl720_tanh_sin001_ffn_linear_s2024_iTransformer_ETTm2_M_ft96_sl48_ll720_pl128_dm8_nh2_el1_dl128_df1_fctimeF_ebTrue_dtitransformer_stage1_20260521_actfix3_tanh_sin001_ffn_linear_s2024_projection_0/true.npy,itransformer_stage1_20260521_actfix3,4090-113,10.21.53.113
