dataset,pred_len,seq_len,label_len,e_layers,d_layers,factor,features,d_model,n_heads,d_ff,dropout,attn,embed,batch_size,train_epochs,config_name,activation,activation_family,encoder_activation,decoder_activation,output_activation,amplitude,frequency,phase,lee_type,activation_signature,seed,target,freq,data_path,setting,source_summary,config_path,pred_path,true_path,has_arrays,server_id,server_ip,run_id,des,mse,mae
ETTh1,168,168,168,2,1,5,M,512,8,2048,0.05,prob,timeF,32,6,relu_all,relu,baseline,relu,relu,linear,0.0,1.0,0.0,1,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2024,OT,h,ETTh1.csv,informer_ETTh1_relu_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all,phase3_remote_results/10.21.53.62/results/summary.csv,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/config.json,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/pred.npy,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/true.npy,True,4090-62,10.21.53.62,phase3_regime_place_20260517_123530_10_21_53_62,phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all,1.0804485,0.84023726
ETTh1,168,168,168,2,1,5,M,512,8,2048,0.05,prob,timeF,32,6,relu_all,relu,baseline,relu,relu,linear,0.0,1.0,0.0,1,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2025,OT,h,ETTh1.csv,informer_ETTh1_relu_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all,phase3_remote_results/10.21.53.62/results/summary.csv,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/config.json,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/pred.npy,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/true.npy,True,4090-62,10.21.53.62,phase3_regime_place_20260517_123530_10_21_53_62,phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all,1.0658215,0.8385472
ETTh1,168,168,168,2,1,5,M,512,8,2048,0.05,prob,timeF,32,6,relu_all,relu,baseline,relu,relu,linear,0.0,1.0,0.0,1,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2026,OT,h,ETTh1.csv,informer_ETTh1_relu_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all,phase3_remote_results/10.21.53.62/results/summary.csv,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/config.json,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/pred.npy,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/true.npy,True,4090-62,10.21.53.62,phase3_regime_place_20260517_123530_10_21_53_62,phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all,1.0437962,0.8182159
ETTh1,168,168,168,2,1,5,M,512,8,2048,0.05,prob,timeF,32,6,swish_all,swish,baseline,swish,swish,linear,0.0,1.0,0.0,1,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2024,OT,h,ETTh1.csv,informer_ETTh1_swish_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all,phase3_remote_results/10.21.53.62/results/summary.csv,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/config.json,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/pred.npy,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/true.npy,True,4090-62,10.21.53.62,phase3_regime_place_20260517_123530_10_21_53_62,phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all,0.99049586,0.79960966
ETTh1,168,168,168,2,1,5,M,512,8,2048,0.05,prob,timeF,32,6,swish_all,swish,baseline,swish,swish,linear,0.0,1.0,0.0,1,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2025,OT,h,ETTh1.csv,informer_ETTh1_swish_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all,phase3_remote_results/10.21.53.62/results/summary.csv,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/config.json,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/pred.npy,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/true.npy,True,4090-62,10.21.53.62,phase3_regime_place_20260517_123530_10_21_53_62,phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all,1.0507537,0.8302327
ETTh1,168,168,168,2,1,5,M,512,8,2048,0.05,prob,timeF,32,6,swish_all,swish,baseline,swish,swish,linear,0.0,1.0,0.0,1,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2026,OT,h,ETTh1.csv,informer_ETTh1_swish_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all,phase3_remote_results/10.21.53.62/results/summary.csv,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/config.json,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/pred.npy,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/true.npy,True,4090-62,10.21.53.62,phase3_regime_place_20260517_123530_10_21_53_62,phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all,1.024241,0.8211098
ETTh1,336,168,168,2,1,5,M,512,8,2048,0.05,prob,timeF,32,6,relu_all,relu,baseline,relu,relu,linear,0.0,1.0,0.0,1,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2024,OT,h,ETTh1.csv,informer_ETTh1_relu_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all,phase3_remote_results/10.21.53.62/results/summary.csv,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/config.json,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/pred.npy,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/true.npy,True,4090-62,10.21.53.62,phase3_regime_place_20260517_123530_10_21_53_62,phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all,1.3759632,0.94594246
ETTh1,336,168,168,2,1,5,M,512,8,2048,0.05,prob,timeF,32,6,relu_all,relu,baseline,relu,relu,linear,0.0,1.0,0.0,1,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2025,OT,h,ETTh1.csv,informer_ETTh1_relu_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all,phase3_remote_results/10.21.53.62/results/summary.csv,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/config.json,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/pred.npy,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/true.npy,True,4090-62,10.21.53.62,phase3_regime_place_20260517_123530_10_21_53_62,phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all,1.4501113,1.0017823
ETTh1,336,168,168,2,1,5,M,512,8,2048,0.05,prob,timeF,32,6,relu_all,relu,baseline,relu,relu,linear,0.0,1.0,0.0,1,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2026,OT,h,ETTh1.csv,informer_ETTh1_relu_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all,phase3_remote_results/10.21.53.62/results/summary.csv,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/config.json,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/pred.npy,phase3_remote_results/10.21.53.62/results/informer_ETTh1_relu_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all/true.npy,True,4090-62,10.21.53.62,phase3_regime_place_20260517_123530_10_21_53_62,phase3_regime_place_20260517_123530_10_21_53_62_ett_core_relu_all,1.3070602,0.93093
ETTh1,336,168,168,2,1,5,M,512,8,2048,0.05,prob,timeF,32,6,swish_all,swish,baseline,swish,swish,linear,0.0,1.0,0.0,1,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2024,OT,h,ETTh1.csv,informer_ETTh1_swish_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all,phase3_remote_results/10.21.53.62/results/summary.csv,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/config.json,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/pred.npy,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/true.npy,True,4090-62,10.21.53.62,phase3_regime_place_20260517_123530_10_21_53_62,phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all,1.2908428,0.9034045
ETTh1,336,168,168,2,1,5,M,512,8,2048,0.05,prob,timeF,32,6,swish_all,swish,baseline,swish,swish,linear,0.0,1.0,0.0,1,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2025,OT,h,ETTh1.csv,informer_ETTh1_swish_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all,phase3_remote_results/10.21.53.62/results/summary.csv,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/config.json,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/pred.npy,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2025_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/true.npy,True,4090-62,10.21.53.62,phase3_regime_place_20260517_123530_10_21_53_62,phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all,1.254005,0.902092
ETTh1,336,168,168,2,1,5,M,512,8,2048,0.05,prob,timeF,32,6,swish_all,swish,baseline,swish,swish,linear,0.0,1.0,0.0,1,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,2026,OT,h,ETTh1.csv,informer_ETTh1_swish_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all,phase3_remote_results/10.21.53.62/results/summary.csv,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/config.json,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/pred.npy,phase3_remote_results/10.21.53.62/results/informer_ETTh1_swish_a0_ftM_sl168_ll168_pl336_dm512_nh8_el2_dl1_df2048_fc5_seed2026_4090-62_phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all/true.npy,True,4090-62,10.21.53.62,phase3_regime_place_20260517_123530_10_21_53_62,phase3_regime_place_20260517_123530_10_21_53_62_ett_core_swish_all,1.3428323,0.9504598
ETTh2,168,336,336,3,2,5,M,512,8,2048,0.05,prob,timeF,32,6,relu_all,relu,baseline,relu,relu,linear,0.0,1.0,0.0,1,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2024,OT,h,ETTh2.csv,informer_ETTh2_relu_a0_ftM_sl336_ll336_pl168_dm512_nh8_el3_dl2_df2048_fc5_seed2024_4090-113_phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all,phase3_remote_results/10.21.53.113/results/summary.csv,phase3_remote_results/10.21.53.113/results/informer_ETTh2_relu_a0_ftM_sl336_ll336_pl168_dm512_nh8_el3_dl2_df2048_fc5_seed2024_4090-113_phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all/config.json,phase3_remote_results/10.21.53.113/results/informer_ETTh2_relu_a0_ftM_sl336_ll336_pl168_dm512_nh8_el3_dl2_df2048_fc5_seed2024_4090-113_phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all/pred.npy,phase3_remote_results/10.21.53.113/results/informer_ETTh2_relu_a0_ftM_sl336_ll336_pl168_dm512_nh8_el3_dl2_df2048_fc5_seed2024_4090-113_phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all/true.npy,True,4090-113,10.21.53.113,phase3_regime_place_20260517_123530_10_21_53_113,phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all,6.5460258,2.2226236
ETTh2,168,336,336,3,2,5,M,512,8,2048,0.05,prob,timeF,32,6,relu_all,relu,baseline,relu,relu,linear,0.0,1.0,0.0,1,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2025,OT,h,ETTh2.csv,informer_ETTh2_relu_a0_ftM_sl336_ll336_pl168_dm512_nh8_el3_dl2_df2048_fc5_seed2025_4090-113_phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all,phase3_remote_results/10.21.53.113/results/summary.csv,phase3_remote_results/10.21.53.113/results/informer_ETTh2_relu_a0_ftM_sl336_ll336_pl168_dm512_nh8_el3_dl2_df2048_fc5_seed2025_4090-113_phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all/config.json,phase3_remote_results/10.21.53.113/results/informer_ETTh2_relu_a0_ftM_sl336_ll336_pl168_dm512_nh8_el3_dl2_df2048_fc5_seed2025_4090-113_phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all/pred.npy,phase3_remote_results/10.21.53.113/results/informer_ETTh2_relu_a0_ftM_sl336_ll336_pl168_dm512_nh8_el3_dl2_df2048_fc5_seed2025_4090-113_phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all/true.npy,True,4090-113,10.21.53.113,phase3_regime_place_20260517_123530_10_21_53_113,phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all,5.175593,1.934065
ETTh2,168,336,336,3,2,5,M,512,8,2048,0.05,prob,timeF,32,6,relu_all,relu,baseline,relu,relu,linear,0.0,1.0,0.0,1,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,2026,OT,h,ETTh2.csv,informer_ETTh2_relu_a0_ftM_sl336_ll336_pl168_dm512_nh8_el3_dl2_df2048_fc5_seed2026_4090-113_phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all,phase3_remote_results/10.21.53.113/results/summary.csv,phase3_remote_results/10.21.53.113/results/informer_ETTh2_relu_a0_ftM_sl336_ll336_pl168_dm512_nh8_el3_dl2_df2048_fc5_seed2026_4090-113_phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all/config.json,phase3_remote_results/10.21.53.113/results/informer_ETTh2_relu_a0_ftM_sl336_ll336_pl168_dm512_nh8_el3_dl2_df2048_fc5_seed2026_4090-113_phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all/pred.npy,phase3_remote_results/10.21.53.113/results/informer_ETTh2_relu_a0_ftM_sl336_ll336_pl168_dm512_nh8_el3_dl2_df2048_fc5_seed2026_4090-113_phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all/true.npy,True,4090-113,10.21.53.113,phase3_regime_place_20260517_123530_10_21_53_113,phase3_regime_place_20260517_123530_10_21_53_113_ett_core_relu_all,8.457655,2.4860137
